timestamp,incoming_calls,handle_time,staffing_level,queue_length
473813,90.0,3.0,25.0,0.0
473461,79.0,3.0,44.0,0.0
475647,56.0,3.0,38.0,0.0
475941,55.0,3.0,20.0,0.0
473509,83.0,3.0,50.0,0.0
476035,44.0,3.0,20.0,0.0
477266,70.0,3.0,20.0,0.0
476514,51.0,3.0,20.0,0.0
476236,68.0,3.0,21.0,0.0
475590,86.0,3.0,38.0,0.0
474513,95.0,3.0,57.0,0.0
477055,90.0,3.0,48.0,0.0
475631,52.0,3.0,20.0,0.0
475649,50.0,3.0,20.0,0.0
476015,49.0,3.0,20.0,0.0
476300,43.0,3.0,20.0,0.0
476634,58.0,3.0,20.0,0.0
473626,86.0,3.0,,
477370,86.0,3.0,59.0,0.0
474624,58.0,3.0,20.0,
475990,48.0,3.0,20.0,0.0
476699,82.0,3.0,54.0,0.0
474778,89.0,3.0,65.0,0.0
475370,69.0,3.0,20.0,0.0
476878,51.0,3.0,20.0,0.0
477583,100.0,3.0,36.0,0.0
476058,49.0,3.0,,0.0
473666,68.0,3.0,20.0,0.0
477221,80.0,3.0,28.0,0.0
473657,58.0,3.0,20.0,0.0
475867,52.0,3.0,20.0,0.0
476355,73.0,3.0,20.0,0.0
477235,49.0,3.0,20.0,0.0
474245,97.0,3.0,,0.0
474950,76.0,3.0,34.0,0.0
475835,84.0,3.0,54.0,0.0
473667,68.0,3.0,26.0,0.0
474975,72.0,3.0,33.0,0.0
475375,95.0,3.0,40.0,0.0
474376,64.0,3.0,30.0,0.0
473422,53.0,3.0,20.0,0.0
474394,88.0,3.0,,0.0
474945,80.0,3.0,62.0,0.0
474963,76.0,3.0,,0.0
476992,65.0,3.0,20.0,0.0
475246,60.0,3.0,20.0,0.0
474831,68.0,3.0,44.0,0.0
476943,73.0,3.0,34.0,0.0
476747,94.0,3.0,60.0,0.0
477434,66.0,3.0,20.0,0.0
475700,50.0,3.0,20.0,0.0
476291,82.0,3.0,59.0,0.0
476316,81.0,3.0,59.0,0.0
475946,68.0,3.0,20.0,0.0
477628,79.0,3.0,20.0,0.0
476564,43.0,3.0,20.0,0.0
473369,70.0,3.0,20.0,0.0
474650,66.0,3.0,20.0,0.0
474978,43.0,3.0,20.0,0.0
474758,63.0,3.0,42.0,0.0
474162,51.0,3.0,20.0,0.0
473503,96.0,,41.0,0.0
476856,61.0,3.0,20.0,0.0
477547,44.0,3.0,20.0,0.0
473649,91.0,3.0,61.0,0.0
475389,50.0,3.0,20.0,0.0
475580,50.0,3.0,20.0,0.0
474468,83.0,3.0,45.0,0.0
476886,92.0,3.0,41.0,0.0
476471,50.0,3.0,20.0,0.0
476928,60.0,3.0,20.0,0.0
475845,54.0,3.0,20.0,0.0
474390,99.0,3.0,41.0,0.0
476963,79.0,3.0,66.0,0.0
474809,63.0,,20.0,0.0
477093,55.0,3.0,20.0,0.0
475449,82.0,3.0,64.0,0.0
475081,75.0,3.0,20.0,0.0
473486,71.0,3.0,44.0,0.0
474682,85.0,3.0,66.0,0.0
476481,95.0,3.0,51.0,0.0
475024,62.0,3.0,20.0,0.0
475046,64.0,3.0,42.0,0.0
477545,63.0,3.0,20.0,0.0
476755,50.0,3.0,20.0,0.0
476164,74.0,3.0,22.0,0.0
475073,58.0,3.0,20.0,0.0
474769,66.0,3.0,20.0,0.0
475145,56.0,3.0,20.0,0.0
473496,64.0,3.0,20.0,0.0
475264,73.0,3.0,22.0,0.0
477661,80.0,3.0,40.0,0.0
473995,53.0,3.0,20.0,0.0
