device_info,sensor_packet,sunlight_hours,soil_moisture_index,soil_health_index,irrigation_type,region,crop_variety,growth_stage,disease_severity,certification_level,yield_category
DEV-5026,T=13.40|N=6.97|H=58.2,1.388464818133036,4.955897647817515,2.8073219062486814,drip,North,Var_30,Vegetative,,ISO9001,Low
NODE-9949,T=21.51|N=11.74|H=50.6,3.1923270277129276,3.262310284660458,2.9380189315709138,sprinkler,South,Var_39,Seedling,No Disease,ISO9001,High
DEV-9932,T=27.39|N=11.14|H=58.2,2.4778107362487827,2.1281761466138995,2.295339607824795,sprinkler,South,Var_18,Flowering,,ISO9001,Medium
DEV-4437,T=18.97|N=8.57|H=47.3,4.197803831642774,2.511679915421517,1.9415259004708618,drip,South,Var_22,Flowering,No Disease,ISO9001,Low
DEV-9581,T=21.80|N=10.15|H=48.6,4.758861931053032,3.4365602983547086,,drip,East,Var_27,Vegetative,No Disease,ISO9001,High
SENSOR-8443,T=20.19|N=8.54|H=62.6,5.625011855076479,2.400389275783052,,sprinkler,West,Var_04,Vegetative,No Disease,ISO9001,Medium
SENSOR-6754,T=23.73|N=7.05|H=52.1,4.004841453510421,3.974016583162594,2.6922352668811778,drip,North,Var_33,Maturity,No Disease,ISO9001,High
SENSOR-8534,T=20.56|N=5.75|H=46.9,4.7564815872977935,6.082691829783521,3.2568505914201324,flood,East,Var_33,Maturity,No Disease,ISO9001,High
SENSOR-7895,T=16.96|N=1.51|H=52.6,5.850637390338397,2.264686317091578,0.22704473486658738,sprinkler,North,Var_30,Seedling,No Disease,ISO9001,Low
DEV-9781,T=23.37|N=8.39|H=48.1,6.012014493861603,5.483070609280818,2.981558713552206,flood,West,Var_10,Vegetative,No Disease,ISO9001,High
DEV-4475,T=12.72|N=6.02|H=68.1,3.753707479635884,,2.1801216611960235,flood,North,Var_01,Vegetative,,ISO9001,Low
SENSOR-1694,T=23.89|N=8.64|H=55.3,3.365505324572214,3.662272940675204,2.731539264083134,sprinkler,East,Var_23,Flowering,Medium,ISO9001,Low
DEV-5092,T=28.33|N=11.83|H=58.6,4.731069957278539,3.221933256641594,2.7800078986863968,sprinkler,East,Var_10,Vegetative,No Disease,ISO9001,Low
NODE-3856,T=20.17|N=7.45|H=37.2,1.4407921178525052,7.4397433780559075,4.583433654027473,drip,South,Var_23,Seedling,,ISO9001,High
NODE-5383,T=25.07|N=6.57|H=44.5,1.017746283139265,2.7763386745515093,1.63689220444962,sprinkler,West,Var_37,Vegetative,No Disease,ISO9001,Medium
DEV-9275,T=19.45|N=5.99|H=57.5,4.8539085633305685,1.5828874472436667,1.181313998810674,sprinkler,West,Var_25,Vegetative,No Disease,ISO9001,Low
DEV-9689,T=20.68|N=9.61|H=52.6,1.1376361395562058,3.420720337938911,2.639972557947672,drip,North,Var_30,Seedling,No Disease,ISO9001,Medium
NODE-7082,T=27.74|N=9.70|H=55.4,4.796230699866504,3.5926313213432644,2.704145580096673,drip,West,Var_03,Vegetative,No Disease,ISO9001,Medium
DEV-6720,T=23.89|N=5.17|H=39.5,0.40973110874608787,3.7888667397820326,1.7981307492288119,flood,South,Var_26,Maturity,No Disease,ISO9001,Medium
SENSOR-3572,T=18.23|N=5.50|H=38.7,7.422710159724575,3.7305156164762816,1.846540552775937,sprinkler,East,Var_03,Maturity,No Disease,ISO9001,Low
SENSOR-1135,T=19.85|N=6.22|H=56.2,5.722656245377419,4.829737860090925,2.4238920182532215,sprinkler,North,Var_04,Seedling,Low,ISO9001,Medium
DEV-4505,,3.8610156270616223,4.078226450457112,2.9135320211010667,sprinkler,East,Var_02,Vegetative,No Disease,ISO9001,High
DEV-5088,T=22.06|N=8.57|H=43.7,2.546206861177919,3.8395069831484445,2.269280248595048,drip,West,Var_06,Flowering,No Disease,ISO9001,Medium
SENSOR-3071,,11.533457841865165,3.312395164600759,2.606534872931339,drip,East,Var_17,Flowering,No Disease,ISO9001,Low
NODE-8152,T=22.21|N=9.20|H=45.0,3.845530513525707,1.8144309622657249,1.694495569936307,sprinkler,East,Var_01,Seedling,No Disease,ISO9001,Medium
DEV-2502,T=22.72|N=9.12|H=53.2,5.681970608595008,2.1015458822364974,2.270420068653505,sprinkler,North,Var_32,Flowering,Low,ISO9001,Medium
