,sunlight_hours,soil_moisture_index,soil_health_index,growth_stage,disease_severity,yield_category,soil_temperature,soil_nitrogen,drip,flood,sprinkler,East,North,South,West
0,1.388464818133036,4.955897647817515,2.8073219062486814,1,0.0,0.0,13.4,6.97,True,False,False,False,True,False,False
1,3.192327027712928,3.262310284660458,2.9380189315709138,0,0.0,2.0,21.51,11.74,False,False,True,False,False,True,False
2,2.4778107362487827,2.1281761466138995,2.295339607824795,2,0.0,1.0,27.39,11.14,False,False,True,False,False,True,False
3,4.197803831642774,2.511679915421517,1.9415259004708616,2,0.0,0.0,18.97,8.57,True,False,False,False,False,True,False
4,4.758861931053032,3.436560298354709,2.35936639117092,1,0.0,2.0,21.8,10.15,True,False,False,True,False,False,False
5,5.625011855076479,2.400389275783052,1.8029750936593034,1,0.0,1.0,20.19,8.54,False,False,True,False,False,False,True
6,4.004841453510421,3.974016583162594,2.6922352668811778,3,0.0,2.0,23.73,7.05,True,False,False,False,True,False,False
7,4.7564815872977935,6.082691829783521,3.2568505914201324,3,0.0,2.0,20.56,5.75,False,True,False,True,False,False,False
8,5.850637390338397,2.264686317091578,0.2270447348665873,0,0.0,0.0,16.96,1.51,False,False,True,False,True,False,False
9,6.012014493861603,5.483070609280818,2.981558713552206,1,0.0,2.0,23.37,8.39,False,True,False,False,False,False,True
10,3.753707479635884,3.400748754159235,2.1801216611960235,1,0.0,0.0,12.72,6.02,False,True,False,False,True,False,False
11,3.365505324572214,3.662272940675204,2.731539264083134,2,2.0,0.0,23.89,8.64,False,False,True,True,False,False,False
12,4.731069957278539,3.221933256641594,2.7800078986863968,1,0.0,0.0,28.33,11.83,False,False,True,True,False,False,False
13,1.4407921178525052,7.4397433780559075,4.583433654027473,0,0.0,2.0,20.17,7.45,True,False,False,False,False,True,False
14,1.017746283139265,2.7763386745515093,1.63689220444962,1,0.0,1.0,25.07,6.57,False,False,True,False,False,False,True
15,4.8539085633305685,1.5828874472436667,1.181313998810674,1,0.0,0.0,19.45,5.99,False,False,True,False,False,False,True
16,1.1376361395562058,3.420720337938911,2.639972557947672,0,0.0,1.0,20.68,9.61,True,False,False,False,True,False,False
17,4.796230699866504,3.5926313213432644,2.704145580096673,1,0.0,1.0,27.74,9.7,True,False,False,False,False,False,True
18,0.4097311087460878,3.7888667397820326,1.798130749228812,3,0.0,1.0,23.89,5.17,False,True,False,False,False,True,False
19,7.422710159724575,3.7305156164762816,1.846540552775937,3,0.0,0.0,18.23,5.5,False,False,True,True,False,False,False
20,5.722656245377419,4.829737860090925,2.423892018253221,0,1.0,1.0,19.85,6.22,False,False,True,False,True,False,False
21,3.8610156270616223,4.078226450457112,2.9135320211010667,1,0.0,2.0,23.0,8.01,False,False,True,True,False,False,False
22,2.546206861177919,3.839506983148445,2.269280248595048,2,0.0,1.0,22.06,8.57,True,False,False,False,False,False,True
23,11.533457841865165,3.312395164600759,2.606534872931339,2,0.0,0.0,23.0,8.01,True,False,False,True,False,False,False
24,3.845530513525707,1.8144309622657249,1.694495569936307,0,0.0,1.0,22.21,9.2,False,False,True,True,False,False,False
25,5.681970608595008,2.1015458822364974,2.270420068653505,2,1.0,1.0,22.72,9.12,False,False,True,False,True,False,False
26,4.233366461535995,6.141611729919351,4.286912770476368,2,0.0,2.0,24.96,10.17,False,True,False,False,False,True,False
28,5.002050233323197,1.2512304560870973,1.520493467824757,3,0.0,1.0,23.0,8.01,False,False,True,False,True,False,False
29,3.215268090218532,3.982593629574066,2.7612789813046823,1,0.0,0.0,18.27,9.65,True,False,False,True,False,False,False
30,1.744442956581841,4.938460527342795,2.150769348139021,1,0.0,0.0,20.47,3.98,True,False,False,False,False,False,True
31,3.8951092133908776,2.795558415565264,1.8507767796279948,2,0.0,1.0,21.17,8.72,False,False,True,False,False,False,True
32,2.26106232722524,6.556682782375956,4.004587723560736,1,0.0,2.0,24.53,7.52,True,False,False,True,False,False,False
33,3.679216956295925,3.433114980644272,2.3575163637628074,0,0.0,0.0,29.45,9.41,False,False,True,False,False,True,False
35,1.5647212735313565,4.103116324807915,3.950224853616152,1,0.0,2.0,25.01,14.7,True,False,False,False,False,False,True
36,3.1404311548012247,4.810051288949364,3.475729671317045,2,0.0,2.0,20.96,10.4,True,False,False,True,False,False,False
37,3.816055420609076,9.014461809596073,7.912308096349036,1,0.0,2.0,30.69,20.12,False,True,False,False,False,True,False
38,3.655392534015194,7.007810121820961,4.296145259345646,1,0.0,2.0,20.62,6.99,True,False,False,False,True,False,False
39,2.703123266090249,2.994716526911452,2.120501780500323,1,0.0,1.0,21.99,7.81,False,False,True,False,False,True,False
40,2.091338515344119,2.5048429009461404,2.0627520791466547,2,0.0,1.0,20.61,7.65,False,False,True,True,False,False,False
41,1.256796090676374,3.049443948879529,2.7449093835300897,1,0.0,1.0,21.28,10.81,True,False,False,False,False,False,True
42,4.668122349745952,4.110411264042259,2.2708635672709123,3,0.0,2.0,23.0,8.01,True,False,False,True,False,False,False
43,1.0713691694346368,1.6325632114075712,1.8504528866473,3,0.0,0.0,22.94,9.69,True,False,False,False,False,True,False
44,7.252062143960983,4.438843551659939,3.6123698089531553,1,0.0,2.0,25.42,9.74,True,False,False,True,False,False,False
45,1.5757632201519998,5.409068965181841,3.69894644783984,0,0.0,1.0,29.7,4.8,False,False,True,False,False,True,False
46,1.9407369161476469,1.4919217964374512,3.0349266273272395,0,0.0,1.0,23.01,16.78,True,False,False,False,False,False,True
47,4.478582061090984,3.6322491816198137,2.8595863561760653,0,0.0,2.0,21.69,10.94,True,False,False,True,False,False,False
48,5.650010089125242,2.453624058532962,2.303109522449192,0,0.0,1.0,21.1,9.5,False,False,True,False,True,False,False
49,7.740168087390683,2.521532278008028,2.74850230929908,1,1.0,1.0,19.19,10.77,True,False,False,False,False,False,True
50,2.4513886429857177,5.22195505026215,3.0053865486935223,2,0.0,2.0,23.5,6.69,True,False,False,False,False,False,True
51,2.818785218315833,6.045906222823452,4.115032625579214,1,0.0,1.0,19.46,10.25,True,False,False,True,False,False,False
52,4.1301154504214015,4.588033556454081,1.9857199542710084,1,1.0,0.0,28.12,3.51,True,False,False,True,False,False,False
53,3.7137602595189367,3.205246721534291,1.7945486524370091,1,2.0,0.0,28.08,5.59,True,False,False,False,False,True,False
55,4.137272394643299,1.65340705094412,1.663950408893572,1,0.0,0.0,24.84,8.61,True,False,False,False,True,False,False
56,1.4748425133938243,2.0220852830408926,1.5395030353318804,2,0.0,0.0,19.62,8.65,True,False,False,True,False,False,False
57,1.937573348997184,6.659020798930005,4.253348613654329,2,0.0,2.0,23.0,8.01,False,True,False,False,True,False,False
58,0.6283752494111366,8.648189400554992,4.582977167269148,3,0.0,2.0,26.07,5.53,False,True,False,False,False,False,True
59,3.4374919689515675,7.560522924443654,3.3133625621064904,1,0.0,2.0,25.84,2.91,False,True,False,True,False,False,False
60,1.6831310647341582,3.919921788337512,2.6066503699713177,1,0.0,1.0,21.37,7.4,True,False,False,False,False,True,False
61,2.14994731194822,3.233358927975893,2.768186448053402,2,0.0,1.0,24.34,10.56,True,False,False,False,False,False,True
62,2.119961138898479,1.5465045061899922,1.344465789181591,1,1.0,0.0,26.3,7.39,True,False,False,True,False,False,False
63,2.1220249875990853,2.3708755155161017,2.7795663430876205,1,0.0,0.0,28.5,12.14,False,False,True,False,False,False,True
64,3.696850782110537,2.6582745666402867,1.9414513957982147,1,0.0,1.0,20.89,5.07,True,False,False,False,True,False,False
65,3.825944174037164,2.548741185325168,1.6246668970855362,1,0.0,0.0,18.86,6.09,True,False,False,False,True,False,False
66,8.059938454143271,6.579450307281077,4.046999621506608,1,0.0,2.0,30.28,7.55,False,True,False,True,False,False,False
67,4.676841149929894,2.919020255656983,1.641968901049928,0,0.0,1.0,21.21,4.11,True,False,False,False,False,True,False
68,0.2211881857532944,3.1495496457941,1.9535465260460017,0,0.0,0.0,25.93,7.76,True,False,False,False,True,False,False
69,1.953770731164159,3.46984383464133,1.320903589668503,1,0.0,0.0,31.49,3.47,True,False,False,False,False,False,True
70,0.8155622276099335,3.720330566296648,2.5117421130701647,2,0.0,1.0,21.98,13.13,True,False,False,True,False,False,False
71,2.4915713802992965,4.458755080661833,2.659684640116101,0,3.0,0.0,22.83,6.59,False,False,True,False,False,True,False
72,2.9623448503502363,2.0207058365019828,1.1364417846175694,1,0.0,0.0,28.59,4.83,True,False,False,False,False,True,False
73,6.476959706849778,2.779759273866192,2.471159376564722,0,0.0,0.0,16.77,11.32,True,False,False,False,False,False,True
74,5.82690529796086,2.3724521958982754,3.067476500557405,3,0.0,1.0,26.75,14.21,True,False,False,False,True,False,False
75,4.465517766002527,2.4054967702957524,2.8630307518002063,3,0.0,1.0,18.52,14.44,False,False,True,False,False,False,True
76,3.685920565345512,4.573370363612141,3.0669358036899523,0,0.0,2.0,25.99,7.96,False,False,True,False,False,True,False
77,2.4401449001579776,2.5726290130641645,1.1615763031894764,2,0.0,0.0,19.95,4.91,True,False,False,False,False,False,True
78,5.407383178745603,3.627707138953101,2.427955835006717,1,0.0,2.0,20.92,7.05,True,False,False,True,False,False,False
80,5.060854980216904,4.709415604868908,2.670272268889629,2,0.0,0.0,30.52,5.7,False,True,False,False,False,True,False
81,6.047773689030146,3.4317325064970428,2.2035536272618,0,0.0,2.0,22.66,12.83,False,False,True,False,False,True,False
82,3.233988332536988,4.354788684073717,2.747685040974859,1,0.0,1.0,29.57,8.01,False,False,True,False,False,True,False
83,2.640698236897388,3.527704660114507,2.0162022677379,3,1.0,1.0,21.44,6.16,True,False,False,True,False,False,False
84,7.017971944817466,4.102529906751721,3.964638492573978,2,0.0,2.0,19.69,15.1,True,False,False,True,False,False,False
86,3.86337109880902,2.255828927791804,3.151466691725217,2,0.0,2.0,22.71,15.11,False,False,True,True,False,False,False
87,3.547063197573847,2.836744966030604,2.266025944296221,0,0.0,0.0,17.11,9.98,False,False,True,False,True,False,False
88,5.543287871520668,5.491263838796405,3.76110765634418,2,0.0,2.0,25.18,9.16,True,False,False,False,True,False,False
89,3.8779679765067394,5.2594587870502325,2.4960919308084546,2,0.0,1.0,27.18,3.26,True,False,False,False,True,False,False
92,2.5901210948203808,4.0701987253602745,2.4063726318334364,0,0.0,1.0,22.0,6.3,True,False,False,False,True,False,False
93,1.191613129720477,2.938615710318449,2.1300746035708986,0,0.0,0.0,17.06,6.65,False,False,True,True,False,False,False
94,5.681433850471773,4.292215714675412,2.8337061022684438,0,0.0,2.0,22.58,9.09,False,False,True,False,False,True,False
96,3.3583410783950023,9.471866376663884,6.285058391650331,1,2.0,2.0,24.17,11.04,False,True,False,False,False,True,False
97,3.160626532579048,2.959221879679802,2.3911227192899966,1,1.0,1.0,24.79,9.77,True,False,False,False,True,False,False
98,1.3058714461072989,2.401917913838235,1.8037959242870871,1,0.0,0.0,28.32,7.0,False,False,True,False,False,True,False
99,2.8853201590900683,2.9245863571950146,1.9070370651536983,2,0.0,0.0,18.66,7.67,True,False,False,False,True,False,False
100,7.356828335024697,4.928878854823443,3.4802397506432725,3,0.0,1.0,19.16,9.67,False,False,True,False,False,True,False
101,4.13313567044617,2.837646479303282,0.9555404027892028,1,0.0,0.0,16.72,3.2,True,False,False,False,True,False,False
102,4.466059241826085,4.001701683803558,3.0248221039623946,2,0.0,2.0,23.96,8.45,True,False,False,False,False,True,False
103,3.5440593034163204,4.977600072652225,3.226259934276501,3,0.0,1.0,19.02,8.65,True,False,False,True,False,False,False
104,5.550709292796279,4.587937499557092,2.145474399157737,2,0.0,1.0,24.59,3.5,False,True,False,False,False,True,False
105,2.4373891797913827,3.999415165447511,2.4948554248032475,0,0.0,1.0,21.49,7.09,True,False,False,False,False,False,True
106,4.243942196321667,8.772956866751388,6.389973390868979,2,0.0,2.0,23.32,14.22,True,False,False,False,True,False,False
107,4.600963766439933,2.8315045867983115,3.073480252638521,0,0.0,0.0,31.74,12.22,False,False,True,True,False,False,False
108,0.621342430595636,3.652144295772349,2.4161634969339483,3,0.0,1.0,21.27,9.01,False,False,True,False,True,False,False
109,3.55958631324999,3.1606217859414927,1.585723244489725,2,0.0,0.0,23.0,8.01,True,False,False,False,False,False,True
110,1.5585476621483394,4.19665996754528,2.613596111415943,1,0.0,0.0,28.58,8.22,True,False,False,False,False,True,False
111,4.7325834465982055,2.659464903452141,1.6195137062427498,0,0.0,0.0,23.18,9.3,False,False,True,False,True,False,False
112,1.085475704687087,3.0684576551019567,2.377136393663982,1,1.0,2.0,22.87,7.19,False,False,True,True,False,False,False
113,3.4477770481589114,3.823100025486381,2.7139445859571825,1,0.0,1.0,23.27,9.12,True,False,False,False,False,True,False
114,1.7172981371482992,4.1378378296049405,1.7707664343272027,3,0.0,0.0,23.93,4.87,True,False,False,True,False,False,False
115,3.573661047607977,6.12262806718207,4.238587111168829,2,0.0,2.0,28.71,12.62,True,False,False,False,False,True,False
116,7.120741351727929,3.826659366565481,3.152701850893726,2,0.0,2.0,19.82,10.2,True,False,False,True,False,False,False
117,3.696850782110537,4.228544294003441,3.85117421246074,1,0.0,2.0,22.37,12.25,True,False,False,False,False,True,False
118,1.9076960729996717,2.6081830680416265,2.8834301498273165,3,0.0,2.0,24.86,12.98,True,False,False,False,False,False,True
119,5.176113296366922,3.829449933121815,1.956586994183152,1,0.0,1.0,28.79,5.67,True,False,False,False,False,True,False
120,7.164576599348203,5.222543763167841,2.4307502538016275,2,1.0,0.0,17.21,4.89,False,True,False,False,False,False,True
121,6.18639548376218,4.429546084460008,2.491655568451033,2,1.0,1.0,21.27,7.23,True,False,False,False,False,True,False
122,2.173602111248337,4.327055284728905,3.732688225477303,3,0.0,2.0,22.49,11.63,True,False,False,False,False,True,False
123,2.0680050880012235,2.030325736805997,3.2885928064496706,0,1.0,1.0,23.26,15.48,True,False,False,False,False,False,True
124,5.382515135251977,4.902494320793461,3.193005946140923,3,0.0,2.0,23.21,7.88,False,False,True,True,False,False,False
125,1.4481327489662514,4.213124995290079,2.987002701192832,1,0.0,2.0,24.66,9.77,True,False,False,False,False,True,False
127,5.9708986130406725,3.1746678882982198,1.0175063243917666,1,0.0,0.0,28.66,1.42,False,False,True,False,False,True,False
129,3.314434830041641,3.541944488124151,1.6178468535320327,3,0.0,1.0,25.49,3.8,True,False,False,False,False,True,False
130,3.0637920877766787,2.351508739129416,1.6831867635199274,2,0.0,1.0,24.66,5.38,True,False,False,True,False,False,False
131,1.68752164039843,5.5149895806792175,3.40597704477884,1,0.0,1.0,19.26,9.07,False,True,False,True,False,False,False
132,3.919051715462732,3.730507867842952,2.1406730205050097,3,0.0,0.0,17.63,8.14,True,False,False,False,False,False,True
133,3.832923258041864,1.868703307521772,2.15145136700977,0,0.0,0.0,28.0,10.12,False,False,True,False,False,True,False
134,2.9051814780056358,4.993355282861517,2.8272802525350533,2,0.0,1.0,25.52,6.82,False,True,False,False,True,False,False
135,6.818354970923011,3.8140694062395024,2.367031883054448,1,0.0,2.0,23.1,7.13,True,False,False,False,True,False,False
136,2.957263323663706,2.478940138791062,1.4829889201725657,1,1.0,0.0,27.27,2.33,True,False,False,False,False,False,True
137,4.23353944264846,3.052351125131908,2.131490225395084,1,0.0,0.0,16.75,8.73,True,False,False,True,False,False,False
138,3.4007178837504317,4.323118176487319,2.77011945383851,0,0.0,1.0,24.55,6.83,False,True,False,False,True,False,False
139,5.582824490035433,2.3996858860326804,1.1801720603877102,3,0.0,0.0,13.92,5.28,True,False,False,True,False,False,False
140,3.696850782110537,3.788826379971197,1.8482895555853185,2,0.0,0.0,29.93,4.14,True,False,False,False,False,True,False
141,4.18438444510876,4.514814086988779,2.0499335597788138,0,0.0,0.0,17.82,4.32,False,False,True,True,False,False,False
142,7.727441368835752,7.411846527275816,5.5316799136593495,1,0.0,2.0,21.0,13.62,True,False,False,False,False,True,False
