,sunlight_hours,soil_moisture_index,soil_health_index,irrigation_type,region,crop_variety,growth_stage,disease_severity,certification_level,yield_category,soil_temperature,soil_nitrogen
0,1.388464818133036,4.955897647817515,2.8073219062486814,drip,North,Var_30,Vegetative,,ISO9001,Low,13.4,6.97
1,3.192327027712928,3.262310284660458,2.9380189315709138,sprinkler,South,Var_39,Seedling,No Disease,ISO9001,High,21.51,11.74
2,2.4778107362487827,2.1281761466138995,2.295339607824795,sprinkler,South,Var_18,Flowering,,ISO9001,Medium,27.39,11.14
3,4.197803831642774,2.511679915421517,1.9415259004708616,drip,South,Var_22,Flowering,No Disease,ISO9001,Low,18.97,8.57
4,4.758861931053032,3.436560298354709,,drip,East,Var_27,Vegetative,No Disease,ISO9001,High,21.8,10.15
5,5.625011855076479,2.400389275783052,,sprinkler,West,Var_04,Vegetative,No Disease,ISO9001,Medium,20.19,8.54
6,4.004841453510421,3.974016583162594,2.6922352668811778,drip,North,Var_33,Maturity,No Disease,ISO9001,High,23.73,7.05
7,4.7564815872977935,6.082691829783521,3.2568505914201324,flood,East,Var_33,Maturity,No Disease,ISO9001,High,20.56,5.75
8,5.850637390338397,2.264686317091578,0.2270447348665873,sprinkler,North,Var_30,Seedling,No Disease,ISO9001,Low,16.96,1.51
9,6.012014493861603,5.483070609280818,2.981558713552206,flood,West,Var_10,Vegetative,No Disease,ISO9001,High,23.37,8.39
10,3.753707479635884,,2.1801216611960235,flood,North,Var_01,Vegetative,,ISO9001,Low,12.72,6.02
11,3.365505324572214,3.662272940675204,2.731539264083134,sprinkler,East,Var_23,Flowering,Medium,ISO9001,Low,23.89,8.64
12,4.731069957278539,3.221933256641594,2.7800078986863968,sprinkler,East,Var_10,Vegetative,No Disease,ISO9001,Low,28.33,11.83
13,1.4407921178525052,7.4397433780559075,4.583433654027473,drip,South,Var_23,Seedling,,ISO9001,High,20.17,7.45
14,1.017746283139265,2.7763386745515093,1.63689220444962,sprinkler,West,Var_37,Vegetative,No Disease,ISO9001,Medium,25.07,6.57
15,4.8539085633305685,1.5828874472436667,1.181313998810674,sprinkler,West,Var_25,Vegetative,No Disease,ISO9001,Low,19.45,5.99
16,1.1376361395562058,3.420720337938911,2.639972557947672,drip,North,Var_30,Seedling,No Disease,ISO9001,Medium,20.68,9.61
17,4.796230699866504,3.5926313213432644,2.704145580096673,drip,West,Var_03,Vegetative,No Disease,ISO9001,Medium,27.74,9.7
18,0.4097311087460878,3.7888667397820326,1.798130749228812,flood,South,Var_26,Maturity,No Disease,ISO9001,Medium,23.89,5.17
19,7.422710159724575,3.7305156164762816,1.846540552775937,sprinkler,East,Var_03,Maturity,No Disease,ISO9001,Low,18.23,5.5
20,5.722656245377419,4.829737860090925,2.423892018253221,sprinkler,North,Var_04,Seedling,Low,ISO9001,Medium,19.85,6.22
21,3.8610156270616223,4.078226450457112,2.9135320211010667,sprinkler,East,Var_02,Vegetative,No Disease,ISO9001,High,,
22,2.546206861177919,3.839506983148445,2.269280248595048,drip,West,Var_06,Flowering,No Disease,ISO9001,Medium,22.06,8.57
23,11.533457841865165,3.312395164600759,2.606534872931339,drip,East,Var_17,Flowering,No Disease,ISO9001,Low,,
24,3.845530513525707,1.8144309622657249,1.694495569936307,sprinkler,East,Var_01,Seedling,No Disease,ISO9001,Medium,22.21,9.2
25,5.681970608595008,2.1015458822364974,2.270420068653505,sprinkler,North,Var_32,Flowering,Low,ISO9001,Medium,22.72,9.12
26,4.233366461535995,6.141611729919351,4.286912770476368,flood,South,Var_08,Flowering,No Disease,ISO9001,High,24.96,10.17
27,1.711522349451457,2.3428019133019125,1.5484249219421196,drip,West,Var_34,Maturity,No Disease,ISO9001,,19.59,7.38
28,5.002050233323197,1.2512304560870973,1.520493467824757,sprinkler,North,Var_13,Maturity,No Disease,ISO9001,Medium,,
29,3.215268090218532,3.982593629574066,2.7612789813046823,drip,East,Var_03,Vegetative,No Disease,ISO9001,Low,18.27,9.65
30,1.744442956581841,4.938460527342795,2.150769348139021,drip,West,Var_11,Vegetative,No Disease,ISO9001,Low,20.47,3.98
31,3.8951092133908776,2.795558415565264,1.8507767796279948,sprinkler,West,Var_39,Flowering,No Disease,ISO9001,Medium,21.17,8.72
32,2.26106232722524,6.556682782375956,4.004587723560736,drip,East,Var_29,Vegetative,,ISO9001,High,24.53,7.52
33,3.679216956295925,3.433114980644272,,sprinkler,South,Var_02,Seedling,No Disease,ISO9001,Low,29.45,9.41
34,5.831699525439782,3.4174478885730784,1.4931977472841909,sprinkler,North,Var_06,Maturity,No Disease,ISO9001,,24.37,4.5
35,1.5647212735313565,4.103116324807915,3.950224853616152,drip,West,Var_13,Vegetative,No Disease,ISO9001,High,25.01,14.7
36,3.1404311548012247,4.810051288949364,3.475729671317045,drip,East,Var_08,Flowering,No Disease,ISO9001,High,20.96,10.4
37,3.816055420609076,9.014461809596073,7.912308096349036,flood,South,Var_24,Vegetative,No Disease,ISO9001,High,30.69,20.12
38,3.655392534015194,7.007810121820961,4.296145259345646,drip,North,Var_09,Vegetative,No Disease,ISO9001,High,20.62,6.99
39,2.703123266090249,2.994716526911452,2.120501780500323,sprinkler,South,Var_25,Vegetative,No Disease,ISO9001,Medium,21.99,7.81
40,2.091338515344119,2.5048429009461404,2.0627520791466547,sprinkler,East,Var_26,Flowering,No Disease,ISO9001,Medium,20.61,7.65
41,1.256796090676374,3.049443948879529,2.7449093835300897,drip,West,Var_05,Vegetative,No Disease,ISO9001,Medium,21.28,10.81
42,4.668122349745952,4.110411264042259,2.2708635672709123,drip,East,Var_28,Maturity,No Disease,ISO9001,High,,
43,1.0713691694346368,1.6325632114075712,1.8504528866473,drip,South,Var_39,Maturity,No Disease,ISO9001,Low,22.94,9.69
44,7.252062143960983,4.438843551659939,3.6123698089531553,drip,East,Var_09,Vegetative,No Disease,ISO9001,High,25.42,9.74
45,1.5757632201519998,,3.69894644783984,sprinkler,South,Var_33,Seedling,No Disease,ISO9001,Medium,29.7,4.8
46,1.9407369161476469,1.4919217964374512,3.0349266273272395,drip,West,Var_07,Seedling,,ISO9001,Medium,23.01,16.78
47,4.478582061090984,3.6322491816198137,2.8595863561760653,drip,East,Var_04,Seedling,No Disease,ISO9001,High,21.69,10.94
48,5.650010089125242,2.453624058532962,2.303109522449192,sprinkler,North,Var_25,Seedling,No Disease,ISO9001,Medium,21.1,9.5
49,7.740168087390683,2.521532278008028,2.74850230929908,drip,West,Var_21,Vegetative,Low,ISO9001,Medium,19.19,10.77
50,2.4513886429857177,5.22195505026215,3.0053865486935223,drip,West,Var_19,Flowering,No Disease,ISO9001,High,23.5,6.69
51,2.818785218315833,6.045906222823452,4.115032625579214,drip,East,Var_10,Vegetative,No Disease,ISO9001,Medium,19.46,10.25
52,4.1301154504214015,4.588033556454081,1.9857199542710084,drip,East,Var_06,Vegetative,Low,ISO9001,Low,28.12,3.51
53,3.7137602595189367,3.205246721534291,1.7945486524370091,drip,South,Var_17,Vegetative,Medium,ISO9001,Low,28.08,5.59
54,6.509983716819199,,,sprinkler,North,Var_39,Maturity,No Disease,ISO9001,,18.75,5.42
55,4.137272394643299,1.65340705094412,1.663950408893572,drip,North,Var_32,Vegetative,No Disease,ISO9001,Low,24.84,8.61
56,1.4748425133938243,2.0220852830408926,1.5395030353318804,drip,East,Var_06,Flowering,No Disease,ISO9001,Low,19.62,8.65
57,1.937573348997184,6.659020798930005,4.253348613654329,flood,North,Var_11,Flowering,No Disease,ISO9001,High,,
58,0.6283752494111366,8.648189400554992,4.582977167269148,flood,West,Var_05,Maturity,No Disease,ISO9001,High,26.07,5.53
59,3.4374919689515675,7.560522924443654,3.3133625621064904,flood,East,Var_03,Vegetative,No Disease,ISO9001,High,25.84,2.91
60,1.6831310647341582,3.919921788337512,2.6066503699713177,drip,South,Var_37,Vegetative,No Disease,ISO9001,Medium,21.37,7.4
61,2.14994731194822,3.233358927975893,2.768186448053402,drip,West,Var_21,Flowering,No Disease,ISO9001,Medium,24.34,10.56
62,2.119961138898479,1.5465045061899922,,drip,East,Var_27,Vegetative,Low,ISO9001,Low,26.3,7.39
63,2.1220249875990853,2.3708755155161017,2.7795663430876205,sprinkler,West,Var_22,Vegetative,No Disease,ISO9001,Low,28.5,12.14
64,,2.6582745666402867,,drip,North,Var_06,Vegetative,No Disease,ISO9001,Medium,20.89,5.07
65,3.825944174037164,2.548741185325168,1.6246668970855362,drip,North,Var_36,Vegetative,No Disease,ISO9001,Low,18.86,6.09
66,8.059938454143271,6.579450307281077,,flood,East,Var_24,Vegetative,No Disease,ISO9001,High,30.28,7.55
67,4.676841149929894,2.919020255656983,1.641968901049928,drip,South,Var_05,Seedling,No Disease,ISO9001,Medium,21.21,4.11
68,0.2211881857532944,3.1495496457941,1.9535465260460017,drip,North,Var_03,Seedling,No Disease,ISO9001,Low,25.93,7.76
69,1.953770731164159,3.46984383464133,1.320903589668503,drip,West,Var_15,Vegetative,No Disease,ISO9001,Low,31.49,3.47
70,0.8155622276099335,3.720330566296648,,drip,East,Var_29,Flowering,No Disease,ISO9001,Medium,21.98,13.13
71,2.4915713802992965,4.458755080661833,2.659684640116101,sprinkler,South,Var_05,Seedling,High,ISO9001,Low,22.83,6.59
72,2.9623448503502363,,1.1364417846175694,drip,South,Var_03,Vegetative,No Disease,ISO9001,Low,28.59,4.83
73,6.476959706849778,2.779759273866192,2.471159376564722,drip,West,Var_07,Seedling,No Disease,ISO9001,Low,16.77,11.32
74,5.82690529796086,2.3724521958982754,3.067476500557405,drip,North,Var_08,Maturity,No Disease,ISO9001,Medium,26.75,14.21
75,4.465517766002527,2.4054967702957524,2.8630307518002063,sprinkler,West,Var_01,Maturity,No Disease,ISO9001,Medium,18.52,14.44
76,3.685920565345512,,3.0669358036899523,sprinkler,South,Var_20,Seedling,No Disease,ISO9001,High,25.99,7.96
77,2.4401449001579776,2.5726290130641645,1.1615763031894764,drip,West,Var_05,Flowering,No Disease,ISO9001,Low,19.95,4.91
78,5.407383178745603,3.627707138953101,2.427955835006717,drip,East,Var_40,Vegetative,No Disease,ISO9001,High,20.92,7.05
79,1.3537633535916516,2.325019563645326,1.2392907239893916,drip,West,Var_38,Seedling,Low,ISO9001,,21.47,7.28
80,5.060854980216904,4.709415604868908,2.670272268889629,flood,South,Var_08,Flowering,No Disease,ISO9001,Low,30.52,5.7
81,6.047773689030146,,2.2035536272618,sprinkler,South,Var_09,Seedling,No Disease,ISO9001,High,22.66,12.83
82,3.233988332536988,4.354788684073717,2.747685040974859,sprinkler,South,Var_04,Vegetative,No Disease,ISO9001,Medium,29.57,8.01
83,2.640698236897388,3.527704660114507,2.0162022677379,drip,East,Var_06,Maturity,Low,ISO9001,Medium,21.44,6.16
84,7.017971944817466,4.102529906751721,3.964638492573978,drip,East,Var_07,Flowering,No Disease,ISO9001,High,19.69,15.1
85,4.157160610369216,3.369760936901488,2.3490626189336603,drip,North,Var_04,Vegetative,,ISO9001,,20.54,7.67
86,3.86337109880902,2.255828927791804,3.151466691725217,sprinkler,East,Var_14,Flowering,No Disease,ISO9001,High,22.71,15.11
87,3.547063197573847,2.836744966030604,2.266025944296221,sprinkler,North,Var_01,Seedling,No Disease,ISO9001,Low,17.11,9.98
88,5.543287871520668,,3.76110765634418,drip,North,Var_01,Flowering,No Disease,ISO9001,High,25.18,9.16
89,3.8779679765067394,5.2594587870502325,2.4960919308084546,drip,North,Var_26,Flowering,No Disease,ISO9001,Medium,27.18,3.26
90,,5.351917196036983,2.914533204921553,drip,North,Var_12,Vegetative,No Disease,ISO9001,,25.08,6.05
91,3.931020779970322,2.3463490190202334,1.5149744391186404,sprinkler,East,Var_03,Vegetative,No Disease,ISO9001,,26.29,5.8
92,2.5901210948203808,4.0701987253602745,2.4063726318334364,drip,North,Var_12,Seedling,No Disease,ISO9001,Medium,22.0,6.3
93,1.191613129720477,2.938615710318449,2.1300746035708986,sprinkler,East,Var_05,Seedling,No Disease,ISO9001,Low,17.06,6.65
94,5.681433850471773,4.292215714675412,2.8337061022684438,sprinkler,South,Var_05,Seedling,No Disease,ISO9001,High,22.58,9.09
95,2.336330336127789,4.518841498055615,2.7582640564537506,drip,South,Var_02,Vegetative,No Disease,ISO9001,,28.25,7.49
96,3.3583410783950023,9.471866376663884,6.285058391650331,flood,South,Var_39,Vegetative,Medium,ISO9001,High,24.17,11.04
97,3.160626532579048,2.959221879679802,2.3911227192899966,drip,North,Var_28,Vegetative,Low,ISO9001,Medium,24.79,9.77
98,1.3058714461072989,2.401917913838235,,sprinkler,South,Var_08,Vegetative,No Disease,ISO9001,Low,28.32,7.0
99,2.8853201590900683,2.9245863571950146,1.9070370651536983,drip,North,Var_08,Flowering,No Disease,ISO9001,Low,18.66,7.67
100,7.356828335024697,4.928878854823443,3.4802397506432725,sprinkler,South,Var_09,Maturity,No Disease,ISO9001,Medium,19.16,9.67
101,4.13313567044617,2.837646479303282,0.9555404027892028,drip,North,Var_01,Vegetative,No Disease,ISO9001,Low,16.72,3.2
102,4.466059241826085,4.001701683803558,3.0248221039623946,drip,South,Var_31,Flowering,No Disease,ISO9001,High,23.96,8.45
103,3.5440593034163204,4.977600072652225,3.226259934276501,drip,East,Var_04,Maturity,No Disease,ISO9001,Medium,19.02,8.65
104,5.550709292796279,4.587937499557092,2.145474399157737,flood,South,Var_04,Flowering,No Disease,ISO9001,Medium,24.59,3.5
105,2.4373891797913827,3.999415165447511,2.4948554248032475,drip,West,Var_04,Seedling,No Disease,ISO9001,Medium,21.49,7.09
106,4.243942196321667,8.772956866751388,6.389973390868979,drip,North,Var_10,Flowering,No Disease,ISO9001,High,23.32,14.22
107,4.600963766439933,2.8315045867983115,3.073480252638521,sprinkler,East,Var_09,Seedling,No Disease,ISO9001,Low,31.74,12.22
108,0.621342430595636,3.652144295772349,2.4161634969339483,sprinkler,North,Var_03,Maturity,No Disease,ISO9001,Medium,21.27,9.01
109,3.55958631324999,3.1606217859414927,1.585723244489725,drip,West,Var_27,Flowering,No Disease,ISO9001,Low,,
110,1.5585476621483394,4.19665996754528,2.613596111415943,drip,South,Var_03,Vegetative,No Disease,ISO9001,Low,28.58,8.22
111,4.7325834465982055,,1.6195137062427498,sprinkler,North,Var_36,Seedling,No Disease,ISO9001,Low,23.18,9.3
112,1.085475704687087,3.0684576551019567,2.377136393663982,sprinkler,East,Var_13,Vegetative,,ISO9001,High,22.87,7.19
113,3.4477770481589114,3.823100025486381,2.7139445859571825,drip,South,Var_02,Vegetative,,ISO9001,Medium,23.27,9.12
114,1.7172981371482992,4.1378378296049405,1.7707664343272027,drip,East,Var_01,Maturity,No Disease,ISO9001,Low,23.93,4.87
115,3.573661047607977,,4.238587111168829,drip,South,Var_06,Flowering,No Disease,ISO9001,High,28.71,12.62
116,7.120741351727929,3.826659366565481,3.152701850893726,drip,East,Var_04,Flowering,No Disease,ISO9001,High,19.82,10.2
117,,4.228544294003441,3.85117421246074,drip,South,Var_02,Vegetative,No Disease,ISO9001,High,22.37,12.25
118,1.9076960729996717,2.6081830680416265,2.8834301498273165,drip,West,Var_38,Maturity,No Disease,ISO9001,High,24.86,12.98
119,5.176113296366922,3.829449933121815,1.956586994183152,drip,South,Var_39,Vegetative,No Disease,ISO9001,Medium,28.79,5.67
120,7.164576599348203,5.222543763167841,2.4307502538016275,flood,West,Var_03,Flowering,Low,ISO9001,Low,17.21,4.89
121,6.18639548376218,4.429546084460008,2.491655568451033,drip,South,Var_24,Flowering,Low,ISO9001,Medium,21.27,7.23
122,2.173602111248337,4.327055284728905,3.732688225477303,drip,South,Var_07,Maturity,No Disease,ISO9001,High,22.49,11.63
123,2.0680050880012235,2.030325736805997,3.2885928064496706,drip,West,Var_02,Seedling,Low,ISO9001,Medium,23.26,15.48
124,5.382515135251977,4.902494320793461,3.193005946140923,sprinkler,East,Var_27,Maturity,No Disease,ISO9001,High,23.21,7.88
125,1.4481327489662514,4.213124995290079,2.987002701192832,drip,South,Var_27,Vegetative,No Disease,ISO9001,High,24.66,9.77
126,6.098211398210964,6.8834324290058655,2.685791681782553,drip,North,Var_06,Seedling,,ISO9001,,19.8,1.05
127,5.9708986130406725,3.1746678882982198,1.0175063243917666,sprinkler,South,Var_24,Vegetative,No Disease,ISO9001,Low,28.66,1.42
