,yield_category
6292,0.0
2731,0.0
454,0.0
6815,1.0
320,2.0
8854,0.0
5269,1.0
419,2.0
3244,0.0
919,2.0
4864,0.0
6693,0.0
2887,2.0
5417,0.0
9096,0.0
5231,2.0
299,1.0
5949,2.0
7996,1.0
5589,1.0
496,0.0
6606,2.0
9147,1.0
4304,2.0
4370,0.0
3632,1.0
769,2.0
3493,0.0
6164,0.0
8249,1.0
4597,2.0
3553,1.0
4838,2.0
5350,0.0
6853,2.0
3125,0.0
1942,1.0
2107,2.0
2532,1.0
3716,2.0
4208,1.0
4780,0.0
834,0.0
5109,2.0
8244,0.0
1489,0.0
6883,1.0
72,0.0
6643,2.0
6491,0.0
1680,0.0
3719,2.0
5257,0.0
1130,0.0
2622,2.0
7674,2.0
5573,0.0
9066,1.0
5760,0.0
6568,2.0
2657,1.0
5755,0.0
3018,2.0
9328,2.0
2717,2.0
5273,0.0
3204,2.0
497,2.0
1404,1.0
9543,1.0
9643,1.0
1878,2.0
3802,1.0
783,1.0
8035,2.0
6030,1.0
6720,2.0
7610,0.0
3262,0.0
7580,1.0
3900,1.0
488,1.0
1638,1.0
5929,1.0
6762,0.0
1075,1.0
2486,0.0
4812,2.0
3058,1.0
807,0.0
2616,1.0
3749,2.0
2878,0.0
667,1.0
8090,1.0
7126,2.0
8421,1.0
1166,0.0
5407,2.0
9474,2.0
1507,1.0
7891,0.0
7555,2.0
4644,1.0
7970,2.0
1777,1.0
6616,0.0
658,2.0
2841,0.0
2288,1.0
7688,2.0
6360,1.0
9533,2.0
5867,0.0
7213,0.0
3415,2.0
2967,2.0
8343,0.0
7201,2.0
1233,2.0
8950,1.0
4609,1.0
8308,1.0
9270,1.0
3226,1.0
9805,2.0
2737,1.0
9582,2.0
7621,1.0
3584,2.0
7197,0.0
3316,2.0
6345,0.0
851,1.0
2537,1.0
2251,0.0
8252,2.0
5601,1.0
6001,0.0
4735,1.0
6480,1.0
5133,1.0
189,2.0
9246,1.0
5128,1.0
3216,2.0
4700,1.0
1218,2.0
7600,1.0
1625,1.0
9106,1.0
1628,2.0
7762,0.0
7656,2.0
9305,1.0
6621,1.0
2299,1.0
7527,2.0
2482,0.0
7990,2.0
8328,0.0
1571,0.0
4557,2.0
9779,2.0
9932,2.0
5684,1.0
7166,2.0
2063,1.0
8953,2.0
8808,0.0
1224,1.0
8003,0.0
5784,2.0
6791,2.0
5487,0.0
7392,2.0
4928,1.0
9591,2.0
1692,1.0
6758,1.0
311,1.0
3795,1.0
7207,0.0
7748,2.0
6505,0.0
2846,0.0
1436,1.0
8193,0.0
6205,1.0
5352,2.0
507,2.0
7387,2.0
5001,1.0
5586,2.0
3762,0.0
1213,0.0
5071,0.0
3160,0.0
7881,2.0
7636,0.0
9701,0.0
9446,2.0
5541,1.0
692,0.0
9355,0.0
7509,1.0
668,2.0
186,1.0
9909,2.0
5768,0.0
820,1.0
8027,0.0
6453,0.0
9274,0.0
6506,1.0
8748,2.0
99,0.0
5419,1.0
5392,0.0
8428,1.0
6281,2.0
2083,2.0
551,2.0
3218,2.0
1044,1.0
3658,0.0
2443,2.0
2276,1.0
3704,0.0
1515,2.0
6551,0.0
4662,2.0
3019,2.0
9136,2.0
6964,0.0
9785,1.0
5243,0.0
5616,0.0
516,0.0
3183,1.0
2452,0.0
8006,0.0
8393,1.0
161,2.0
6346,1.0
724,1.0
5360,2.0
1837,2.0
177,1.0
7766,1.0
4352,1.0
8926,1.0
3182,0.0
9612,0.0
8426,2.0
5650,1.0
5985,1.0
5633,0.0
2404,0.0
6972,2.0
7627,2.0
3807,0.0
8785,1.0
7217,0.0
7390,0.0
5582,2.0
2346,0.0
108,1.0
4929,1.0
7055,0.0
5505,1.0
8980,1.0
4593,1.0
9647,0.0
6114,2.0
9369,2.0
9231,0.0
3040,0.0
1556,1.0
4678,0.0
2357,1.0
1843,2.0
8573,1.0
5731,2.0
5994,2.0
9734,0.0
5414,1.0
5600,0.0
9230,0.0
4383,2.0
8430,0.0
5039,0.0
9424,0.0
2241,0.0
8607,1.0
7986,1.0
9404,2.0
6827,2.0
3548,0.0
2838,2.0
7277,2.0
7288,2.0
1267,1.0
3198,0.0
4252,2.0
2035,0.0
2788,0.0
4840,2.0
6922,2.0
7699,2.0
7818,0.0
9589,1.0
3016,0.0
3195,1.0
7253,0.0
8510,2.0
2772,0.0
6503,1.0
6694,1.0
839,1.0
7471,0.0
7967,0.0
5242,1.0
3611,0.0
7689,1.0
1307,2.0
7962,1.0
5565,0.0
3280,0.0
568,2.0
26,2.0
8726,0.0
3746,1.0
2646,1.0
9012,1.0
2727,0.0
1375,1.0
6130,1.0
6444,0.0
3876,1.0
1285,0.0
2687,1.0
782,0.0
