,sensor_packet,runtime_hours,lubrication_index,machine_health_index,operation_mode,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality
0,T:28.78 V:10.04 H:59.2,5.678160865576198,5.032585453246036,,auto,South,Fam_02,Processing,No Fault,ISO9001,Medium
1,T:19.28 V:2.55 H:67.2,6.78467219740031,1.1492985488073253,0.1234253068417999,semi_auto,North,Fam_19,Assembly,,ISO9001,Low
2,T:23.88 V:8.46 H:54.0,1.266339340386479,6.566655659834812,3.184291139615423,manual,West,Fam_05,Processing,Low,ISO9001,High
3,T:23.22 V:8.22 H:45.4,6.25444852316132,,2.2200181503914425,auto,North,Fam_18,Init,No Fault,ISO9001,High
4,T:25.68 V:3.90 H:41.2,5.328183957288952,3.8807881720678608,1.3637118454793202,auto,South,Fam_04,Init,No Fault,ISO9001,Medium
5,T:18.34 V:11.78 H:50.4,4.362347063712937,2.7332318930717414,2.2409004196942464,auto,West,Fam_03,Assembly,Medium,ISO9001,Low
6,T:17.49 V:8.42 H:37.6,3.5042508231913976,5.566339218895353,,manual,North,Fam_05,Processing,No Fault,ISO9001,Low
7,T:23.49 V:5.35 H:73.0,1.138813448059503,6.245536976528081,2.53210430096697,manual,West,Fam_13,Init,No Fault,ISO9001,Medium
8,T:29.79 V:5.00 H:57.5,4.452237169692229,2.7449602798595456,1.196923819570779,auto,South,Fam_30,Processing,No Fault,ISO9001,Low
9,T:16.49 V:4.44 H:38.8,5.570162057741088,5.060005674496089,2.0757502999163786,manual,North,Fam_06,Processing,No Fault,ISO9001,Low
10,,7.474081329337272,3.0528308191402247,2.4689668313293107,auto,South,Fam_14,Init,No Fault,ISO9001,High
11,T:19.07 V:8.10 H:52.9,2.986688544312912,3.4113598855464904,,manual,East,Fam_17,Assembly,Medium,ISO9001,Low
12,T:23.03 V:9.73 H:32.3,3.983743924155001,4.838072314126737,,manual,North,Fam_08,Assembly,No Fault,ISO9001,High
13,T:20.13 V:10.98 H:45.0,1.0292203010000736,2.404979035098897,2.048048488331497,auto,North,Fam_22,Processing,No Fault,ISO9001,Low
14,T:25.44 V:5.99 H:29.9,2.835607594921706,2.3459102490825146,1.4165951599731172,semi_auto,South,Fam_24,Final,No Fault,ISO9001,Medium
15,T:20.90 V:3.42 H:43.6,3.4994353839750776,3.400443962564604,1.025576962876818,auto,West,Fam_20,Processing,,ISO9001,Low
16,T:24.08 V:9.49 H:56.9,1.976555196369108,4.036520634174984,2.335074332226512,semi_auto,South,Fam_06,Final,No Fault,ISO9001,High
17,T:18.60 V:7.00 H:54.2,3.446838750648823,2.099575797607682,1.2990930114867236,semi_auto,North,Fam_12,Assembly,No Fault,ISO9001,Low
18,T:17.03 V:6.75 H:40.1,5.92958514235972,14.3574647681645,5.799390125064903,manual,North,Fam_20,Init,No Fault,ISO9001,High
19,T:27.48 V:6.72 H:31.9,,6.779937536976092,3.16088910749894,manual,West,Fam_01,Processing,No Fault,ISO9001,High
20,T:18.49 V:6.93 H:36.6,5.519647299234487,2.9070137393664472,1.618748269652899,semi_auto,North,Fam_38,Final,No Fault,ISO9001,Low
21,T:22.01 V:11.82 H:62.2,1.233685437019762,4.571115881450399,3.002691536074884,auto,South,Fam_02,Processing,No Fault,ISO9001,High
22,T:22.80 V:9.43 H:50.6,,6.592533601088999,3.4667433587115646,auto,East,Fam_14,Assembly,Low,ISO9001,High
23,T:24.01 V:11.98 H:45.0,1.3033232809722526,,,semi_auto,West,Fam_23,Processing,No Fault,ISO9001,High
24,T:31.86 V:13.93 H:49.8,5.271311734062085,2.518163729597489,2.5331996965965464,semi_auto,South,Fam_02,Processing,No Fault,ISO9001,Low
25,T:24.00 V:4.11 H:45.0,3.232342072899048,2.59747894159692,,semi_auto,South,Fam_01,Assembly,Low,ISO9001,Low
26,,5.986515472555277,2.559101092293182,1.0142520408249724,semi_auto,East,Fam_07,Init,No Fault,ISO9001,Low
27,T:17.86 V:9.38 H:48.5,7.986130480238918,2.584573927951121,1.9171679115750413,manual,North,Fam_12,Final,,ISO9001,Low
28,T:21.02 V:15.16 H:47.1,7.137135400187821,4.926048640256376,3.745507202608129,auto,East,Fam_37,Assembly,Low,ISO9001,High
