,runtime_hours,lubrication_index,machine_health_index,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality,machine_temperature,machine_vibration,auto,manual,semi_auto
0,5.678160865576198,5.032585453246036,,South,Fam_02,Processing,No Fault,ISO9001,Medium,28.78,10.04,True,False,False
1,6.78467219740031,1.1492985488073253,0.1234253068417999,North,Fam_19,Assembly,,ISO9001,Low,19.28,2.55,False,False,True
2,1.266339340386479,6.566655659834812,3.184291139615423,West,Fam_05,Processing,Low,ISO9001,High,23.88,8.46,False,True,False
3,6.25444852316132,,2.2200181503914425,North,Fam_18,Init,No Fault,ISO9001,High,23.22,8.22,True,False,False
4,5.328183957288952,3.8807881720678608,1.3637118454793202,South,Fam_04,Init,No Fault,ISO9001,Medium,25.68,3.9,True,False,False
5,4.362347063712937,2.7332318930717414,2.2409004196942464,West,Fam_03,Assembly,Medium,ISO9001,Low,18.34,11.78,True,False,False
6,3.5042508231913976,5.566339218895353,,North,Fam_05,Processing,No Fault,ISO9001,Low,17.49,8.42,False,True,False
7,1.138813448059503,6.245536976528081,2.53210430096697,West,Fam_13,Init,No Fault,ISO9001,Medium,23.49,5.35,False,True,False
8,4.452237169692229,2.7449602798595456,1.196923819570779,South,Fam_30,Processing,No Fault,ISO9001,Low,29.79,5.0,True,False,False
9,5.570162057741088,5.060005674496089,2.0757502999163786,North,Fam_06,Processing,No Fault,ISO9001,Low,16.49,4.44,False,True,False
10,7.474081329337272,3.0528308191402247,2.4689668313293107,South,Fam_14,Init,No Fault,ISO9001,High,,,True,False,False
11,2.986688544312912,3.4113598855464904,,East,Fam_17,Assembly,Medium,ISO9001,Low,19.07,8.1,False,True,False
12,3.983743924155001,4.838072314126737,,North,Fam_08,Assembly,No Fault,ISO9001,High,23.03,9.73,False,True,False
13,1.0292203010000736,2.404979035098897,2.048048488331497,North,Fam_22,Processing,No Fault,ISO9001,Low,20.13,10.98,True,False,False
14,2.835607594921706,2.3459102490825146,1.4165951599731172,South,Fam_24,Final,No Fault,ISO9001,Medium,25.44,5.99,False,False,True
15,3.4994353839750776,3.400443962564604,1.025576962876818,West,Fam_20,Processing,,ISO9001,Low,20.9,3.42,True,False,False
16,1.976555196369108,4.036520634174984,2.335074332226512,South,Fam_06,Final,No Fault,ISO9001,High,24.08,9.49,False,False,True
17,3.446838750648823,2.099575797607682,1.2990930114867236,North,Fam_12,Assembly,No Fault,ISO9001,Low,18.6,7.0,False,False,True
18,5.92958514235972,14.3574647681645,5.799390125064903,North,Fam_20,Init,No Fault,ISO9001,High,17.03,6.75,False,True,False
19,,6.779937536976092,3.16088910749894,West,Fam_01,Processing,No Fault,ISO9001,High,27.48,6.72,False,True,False
20,5.519647299234487,2.9070137393664472,1.618748269652899,North,Fam_38,Final,No Fault,ISO9001,Low,18.49,6.93,False,False,True
21,1.233685437019762,4.571115881450399,3.002691536074884,South,Fam_02,Processing,No Fault,ISO9001,High,22.01,11.82,True,False,False
22,,6.592533601088999,3.4667433587115646,East,Fam_14,Assembly,Low,ISO9001,High,22.8,9.43,True,False,False
23,1.3033232809722526,,,West,Fam_23,Processing,No Fault,ISO9001,High,24.01,11.98,False,False,True
24,5.271311734062085,2.518163729597489,2.5331996965965464,South,Fam_02,Processing,No Fault,ISO9001,Low,31.86,13.93,False,False,True
25,3.232342072899048,2.59747894159692,,South,Fam_01,Assembly,Low,ISO9001,Low,24.0,4.11,False,False,True
26,5.986515472555277,2.559101092293182,1.0142520408249724,East,Fam_07,Init,No Fault,ISO9001,Low,,,False,False,True
27,7.986130480238918,2.584573927951121,1.9171679115750413,North,Fam_12,Final,,ISO9001,Low,17.86,9.38,False,True,False
28,7.137135400187821,4.926048640256376,3.745507202608129,East,Fam_37,Assembly,Low,ISO9001,High,21.02,15.16,True,False,False
29,2.554664249039115,2.746411182724672,1.139903415102199,West,Fam_10,Final,No Fault,ISO9001,Low,25.52,4.23,False,True,False
30,2.774467548362752,5.618794079112401,2.8411933588197957,West,Fam_06,Processing,No Fault,ISO9001,High,26.37,7.43,True,False,False
31,5.381212439820839,7.510839345377587,3.2626805251517768,South,Fam_29,Processing,No Fault,ISO9001,High,23.38,5.43,True,False,False
32,3.476854458387629,2.652841747482407,1.827798369655984,South,Fam_35,Assembly,No Fault,ISO9001,High,26.51,9.52,False,False,True
33,8.635582484824287,3.457493225904624,1.655312162807259,North,Fam_10,Assembly,No Fault,ISO9001,High,24.33,6.1,False,False,True
34,8.475462963422084,5.140864815396346,2.467532142671152,South,Fam_34,Processing,Low,ISO9001,Medium,28.43,7.87,True,False,False
35,5.795356756888187,6.691815977449106,2.0600495965617776,South,Fam_28,Assembly,No Fault,ISO9001,Medium,21.04,1.34,False,True,False
