device_info,sensor_packet,runtime_hours,lubrication_index,machine_health_index,operation_mode,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality
LINE-8665,T:28.78 V:10.04 H:59.2,5.678160865576198,5.032585453246036,,auto,South,Fam_02,Processing,No Fault,ISO9001,Medium
LINE-2610,T:19.28 V:2.55 H:67.2,6.78467219740031,1.1492985488073253,0.12342530684179993,semi_auto,North,Fam_19,Assembly,,ISO9001,Low
MCH-1237,T:23.88 V:8.46 H:54.0,1.2663393403864793,6.566655659834812,3.184291139615423,manual,West,Fam_05,Processing,Low,ISO9001,High
LINE-6758,T:23.22 V:8.22 H:45.4,6.25444852316132,,2.2200181503914425,auto,North,Fam_18,Init,No Fault,ISO9001,High
BOT-4288,T:25.68 V:3.90 H:41.2,5.328183957288952,3.8807881720678608,1.3637118454793202,auto,South,Fam_04,Init,No Fault,ISO9001,Medium
MCH-5204,T:18.34 V:11.78 H:50.4,4.362347063712937,2.7332318930717414,2.2409004196942464,auto,West,Fam_03,Assembly,Medium,ISO9001,Low
MCH-1718,T:17.49 V:8.42 H:37.6,3.5042508231913976,5.566339218895353,,manual,North,Fam_05,Processing,No Fault,ISO9001,Low
LINE-4334,T:23.49 V:5.35 H:73.0,1.1388134480595027,6.245536976528081,2.53210430096697,manual,West,Fam_13,Init,No Fault,ISO9001,Medium
BOT-6790,T:29.79 V:5.00 H:57.5,4.452237169692229,2.7449602798595456,1.196923819570779,auto,South,Fam_30,Processing,No Fault,ISO9001,Low
BOT-4193,T:16.49 V:4.44 H:38.8,5.570162057741088,5.060005674496089,2.0757502999163786,manual,North,Fam_06,Processing,No Fault,ISO9001,Low
MCH-8478,,7.474081329337272,3.0528308191402247,2.4689668313293107,auto,South,Fam_14,Init,No Fault,ISO9001,High
LINE-8113,T:19.07 V:8.10 H:52.9,2.9866885443129116,3.4113598855464904,,manual,East,Fam_17,Assembly,Medium,ISO9001,Low
BOT-7339,T:23.03 V:9.73 H:32.3,3.9837439241550006,4.838072314126737,,manual,North,Fam_08,Assembly,No Fault,ISO9001,High
BOT-9145,T:20.13 V:10.98 H:45.0,1.0292203010000736,2.4049790350988975,2.048048488331497,auto,North,Fam_22,Processing,No Fault,ISO9001,Low
LINE-7490,T:25.44 V:5.99 H:29.9,2.835607594921706,2.3459102490825146,1.4165951599731172,semi_auto,South,Fam_24,Final,No Fault,ISO9001,Medium
MCH-2596,T:20.90 V:3.42 H:43.6,3.4994353839750776,3.400443962564604,1.0255769628768179,auto,West,Fam_20,Processing,,ISO9001,Low
BOT-8725,T:24.08 V:9.49 H:56.9,1.976555196369108,4.036520634174984,2.3350743322265117,semi_auto,South,Fam_06,Final,No Fault,ISO9001,High
BOT-6874,T:18.60 V:7.00 H:54.2,3.446838750648823,2.099575797607682,1.2990930114867236,semi_auto,North,Fam_12,Assembly,No Fault,ISO9001,Low
LINE-1886,T:17.03 V:6.75 H:40.1,5.92958514235972,14.357464768164501,5.799390125064903,manual,North,Fam_20,Init,No Fault,ISO9001,High
MCH-3684,T:27.48 V:6.72 H:31.9,,6.779937536976092,3.1608891074989396,manual,West,Fam_01,Processing,No Fault,ISO9001,High
MCH-2490,T:18.49 V:6.93 H:36.6,5.519647299234487,2.9070137393664472,1.618748269652899,semi_auto,North,Fam_38,Final,No Fault,ISO9001,Low
LINE-9701,T:22.01 V:11.82 H:62.2,1.233685437019762,4.571115881450399,3.002691536074884,auto,South,Fam_02,Processing,No Fault,ISO9001,High
BOT-7550,T:22.80 V:9.43 H:50.6,,6.5925336010889986,3.4667433587115646,auto,East,Fam_14,Assembly,Low,ISO9001,High
BOT-9277,T:24.01 V:11.98 H:45.0,1.3033232809722526,,,semi_auto,West,Fam_23,Processing,No Fault,ISO9001,High
MCH-3542,T:31.86 V:13.93 H:49.8,5.271311734062085,2.5181637295974895,2.5331996965965464,semi_auto,South,Fam_02,Processing,No Fault,ISO9001,Low
LINE-6722,T:24.00 V:4.11 H:45.0,3.232342072899048,2.5974789415969197,,semi_auto,South,Fam_01,Assembly,Low,ISO9001,Low
LINE-6436,,5.986515472555277,2.559101092293182,1.0142520408249724,semi_auto,East,Fam_07,Init,No Fault,ISO9001,Low
MCH-7773,T:17.86 V:9.38 H:48.5,7.986130480238918,2.5845739279511215,1.9171679115750413,manual,North,Fam_12,Final,,ISO9001,Low
MCH-2062,T:21.02 V:15.16 H:47.1,7.137135400187821,4.926048640256376,3.7455072026081293,auto,East,Fam_37,Assembly,Low,ISO9001,High
BOT-5635,T:25.52 V:4.23 H:47.4,2.554664249039115,2.7464111827246716,1.139903415102199,manual,West,Fam_10,Final,No Fault,ISO9001,Low
BOT-6800,T:26.37 V:7.43 H:33.7,2.774467548362752,5.618794079112401,2.8411933588197953,auto,West,Fam_06,Processing,No Fault,ISO9001,High
MCH-8432,T:23.38 V:5.43 H:50.6,5.381212439820839,7.510839345377587,3.2626805251517768,auto,South,Fam_29,Processing,No Fault,ISO9001,High
BOT-6904,T:26.51 V:9.52 H:53.9,3.4768544583876295,2.652841747482407,1.8277983696559836,semi_auto,South,Fam_35,Assembly,No Fault,ISO9001,High
MCH-5034,T:24.33 V:6.10 H:33.1,8.635582484824287,3.457493225904624,1.655312162807259,semi_auto,North,Fam_10,Assembly,No Fault,ISO9001,High
MCH-5140,T:28.43 V:7.87 H:46.5,8.475462963422084,5.140864815396346,2.467532142671152,auto,South,Fam_34,Processing,Low,ISO9001,Medium
MCH-4048,T:21.04 V:1.34 H:47.8,5.795356756888187,6.691815977449106,2.0600495965617776,manual,South,Fam_28,Assembly,No Fault,ISO9001,Medium
MCH-2414,T:21.20 V:9.62 H:56.1,7.325991059737563,1.6934538549979805,1.4790386808535971,semi_auto,South,Fam_04,Assembly,Low,ISO9001,Medium
MCH-3500,T:17.75 V:6.60 H:48.2,2.0605793384915,2.8761283389289285,1.348014425565309,semi_auto,East,Fam_01,Assembly,No Fault,ISO9001,Low
MCH-2314,T:30.10 V:9.93 H:42.1,2.087118024558454,6.608779249860748,3.322192592088486,semi_auto,South,Fam_03,Init,No Fault,ISO9001,Low
MCH-3036,T:20.22 V:10.45 H:40.1,2.152802193997447,6.314355662848368,3.596155420880547,auto,West,Fam_14,Init,No Fault,ISO9001,High
BOT-8683,T:22.97 V:15.54 H:37.0,0.6604102080829832,2.8161893837283425,3.047564502956858,semi_auto,East,Fam_12,Assembly,No Fault,ISO9001,High
BOT-5731,T:25.56 V:5.57 H:65.2,7.59358949367177,3.072114594761954,1.3640851841902812,auto,South,Fam_05,Assembly,No Fault,ISO9001,Low
LINE-1824,T:21.71 V:6.89 H:45.9,4.628798426504952,,1.6179532663428673,auto,North,Fam_01,Processing,No Fault,ISO9001,Medium
BOT-4877,T:24.16 V:9.94 H:45.3,1.429762374827974,3.425668917400093,2.2158756924201586,semi_auto,South,Fam_01,Final,No Fault,ISO9001,High
LINE-3436,T:25.45 V:8.89 H:60.8,2.864460459402663,2.5479318571444827,2.1505224229682893,semi_auto,East,Fam_07,Assembly,No Fault,ISO9001,High
MCH-6967,T:31.04 V:8.12 H:44.1,5.19817586166774,4.2067322708449,2.337341823417262,auto,South,Fam_18,Assembly,No Fault,ISO9001,
MCH-8471,T:22.81 V:9.88 H:48.3,3.975094515793878,4.793217217227738,2.802939274692603,semi_auto,East,Fam_01,Processing,Low,ISO9001,High
MCH-1115,T:25.67 V:8.40 H:30.0,6.1617412212442755,4.280824548136506,2.3173875430096773,semi_auto,North,Fam_20,Processing,No Fault,ISO9001,High
LINE-5191,T:21.39 V:7.05 H:55.9,8.719617975281036,4.376900361899845,2.0343506340404134,auto,West,Fam_08,Processing,Low,ISO9001,Medium
MCH-5028,,7.279274898699266,4.096410076461226,1.1526922023945758,auto,East,Fam_01,Final,No Fault,ISO9001,Medium
BOT-9915,T:23.61 V:7.39 H:50.7,1.8648068932924384,2.8792048248111772,,semi_auto,West,Fam_39,Assembly,Low,ISO9001,Low
LINE-4286,T:23.05 V:7.07 H:44.5,2.2386398001793415,2.1630457730732413,1.2649926978490786,auto,West,Fam_16,Processing,No Fault,ISO9001,Low
MCH-2486,T:14.44 V:5.24 H:58.8,3.0916471061870485,4.2314182913117016,1.7029663664059087,semi_auto,West,Fam_05,Processing,No Fault,ISO9001,
MCH-2758,T:21.47 V:3.98 H:52.3,1.5593459714268967,2.1293209791021637,0.7879549777466508,semi_auto,West,Fam_09,Processing,No Fault,ISO9001,Low
BOT-5297,T:19.77 V:6.57 H:57.3,2.0494721415188284,2.102937409108882,1.1128700750097806,auto,South,Fam_13,Processing,No Fault,ISO9001,Low
LINE-6353,T:16.74 V:11.71 H:69.0,1.741113468219746,2.5344997280413466,2.1597724042640367,auto,East,Fam_37,Processing,Medium,ISO9001,Low
MCH-3938,T:19.36 V:5.88 H:66.3,4.076870669742116,7.195901549720328,,auto,North,Fam_02,Processing,No Fault,ISO9001,
BOT-4917,T:24.95 V:6.84 H:62.2,3.817136500447135,3.0831103673458222,1.2902520276587548,auto,West,Fam_12,Assembly,Low,ISO9001,
LINE-6968,T:19.83 V:10.97 H:47.9,8.351883019065312,5.414550406176661,3.0637353665731633,semi_auto,North,Fam_05,Processing,No Fault,ISO9001,High
LINE-3699,T:20.77 V:14.01 H:41.8,3.4532051362441125,2.6293995138889943,2.5431168441106693,auto,West,Fam_39,Assembly,Medium,ISO9001,Medium
