,output_quality
6590,1.0
4294,0.0
1104,2.0
249,2.0
4433,0.0
2739,0.0
7335,2.0
4089,1.0
4548,1.0
7764,1.0
850,1.0
7894,2.0
2424,2.0
1924,0.0
9483,0.0
3124,2.0
4208,0.0
2872,0.0
9098,0.0
2900,0.0
122,1.0
2723,1.0
9684,0.0
5086,0.0
2935,2.0
112,0.0
338,2.0
3640,0.0
7323,2.0
658,1.0
5513,1.0
7102,1.0
5400,1.0
7231,0.0
1249,0.0
2335,0.0
3480,2.0
5181,2.0
354,0.0
2735,0.0
2953,1.0
7035,0.0
6132,0.0
6775,1.0
3044,2.0
486,2.0
9328,2.0
1101,2.0
731,0.0
8,0.0
110,1.0
9065,0.0
1523,0.0
7243,0.0
4047,2.0
3268,2.0
5235,2.0
9192,0.0
31,2.0
7742,1.0
1699,0.0
5587,2.0
3149,1.0
6105,1.0
4739,1.0
1476,2.0
568,0.0
8027,1.0
3671,0.0
5428,2.0
3110,2.0
4402,2.0
4421,0.0
8290,1.0
3767,2.0
2030,1.0
4916,0.0
9507,2.0
6672,2.0
6142,1.0
6200,2.0
6468,1.0
9148,0.0
2376,0.0
4582,0.0
1947,0.0
6794,1.0
8317,0.0
7729,0.0
2567,1.0
5790,1.0
3964,0.0
633,2.0
3575,2.0
8953,1.0
7303,2.0
3195,1.0
1093,1.0
5139,2.0
3160,1.0
8346,1.0
7970,1.0
6133,2.0
7595,1.0
4893,1.0
310,2.0
8950,0.0
9186,0.0
9295,0.0
2407,2.0
6808,0.0
8839,2.0
651,1.0
2775,0.0
8050,2.0
626,1.0
6021,2.0
6284,2.0
3981,0.0
2572,2.0
7622,1.0
7052,1.0
2808,2.0
3214,1.0
4116,1.0
6368,2.0
8211,1.0
3928,0.0
8591,0.0
4399,2.0
8006,2.0
5129,2.0
9279,2.0
6951,1.0
1634,2.0
5956,2.0
8049,0.0
1817,2.0
1890,0.0
7909,2.0
8583,2.0
6116,2.0
9764,2.0
8551,2.0
3357,1.0
1692,1.0
4501,0.0
4328,1.0
6505,0.0
414,1.0
9355,2.0
5594,2.0
1381,0.0
6074,2.0
3459,0.0
9256,1.0
9989,1.0
3994,2.0
5473,2.0
5907,1.0
1936,1.0
7964,2.0
8702,0.0
1632,0.0
5050,1.0
8425,1.0
2334,2.0
3264,2.0
8943,0.0
4428,2.0
8377,0.0
4386,0.0
6916,2.0
9874,0.0
1413,1.0
7076,0.0
3819,1.0
3478,1.0
9916,1.0
1949,1.0
785,2.0
4549,1.0
2004,2.0
4824,1.0
4482,1.0
607,0.0
4384,1.0
2245,1.0
6370,0.0
1178,0.0
2157,0.0
6574,1.0
5222,1.0
3453,0.0
2578,2.0
7181,0.0
4466,1.0
7605,2.0
6325,0.0
9999,0.0
1408,2.0
5029,1.0
6139,1.0
9213,1.0
9896,2.0
9969,1.0
697,2.0
7471,0.0
2550,1.0
882,2.0
8482,0.0
9413,1.0
3231,2.0
9442,1.0
7615,0.0
872,0.0
9138,0.0
3178,1.0
914,1.0
5571,0.0
7657,2.0
4098,2.0
5406,1.0
7175,1.0
6489,1.0
4578,0.0
6609,0.0
9116,0.0
9009,0.0
9231,0.0
7055,1.0
6415,0.0
537,1.0
9952,0.0
5543,1.0
9961,1.0
9396,0.0
6459,1.0
5802,1.0
6094,0.0
7701,2.0
7136,0.0
432,1.0
646,1.0
5933,1.0
8408,2.0
6938,2.0
1493,0.0
3059,2.0
7042,2.0
6956,1.0
7704,1.0
5425,2.0
8348,0.0
1691,1.0
9596,0.0
1479,2.0
8844,2.0
9309,2.0
636,2.0
3501,1.0
8817,1.0
30,2.0
9154,1.0
9593,1.0
280,0.0
8984,0.0
264,1.0
8303,2.0
893,2.0
6151,0.0
6196,2.0
215,1.0
560,2.0
511,2.0
5003,1.0
1276,1.0
5722,2.0
2820,1.0
5974,0.0
479,1.0
8814,1.0
1251,1.0
6131,1.0
7324,1.0
9078,2.0
4795,0.0
4460,2.0
7686,0.0
5856,0.0
8941,1.0
5422,0.0
