,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
0,117,408,No,No,0,184.5,97,351.6,80,215.8,90,8.7,4,1,False
1,65,415,No,No,0,129.1,137,228.5,83,208.8,111,12.7,6,4,True
2,161,415,No,No,0,332.9,67,317.8,97,160.6,128,5.4,9,4,True
3,111,415,No,No,0,110.4,103,137.3,102,189.6,105,7.7,6,2,False
4,49,510,No,No,0,119.3,117,215.1,109,178.7,90,11.1,1,1,False
5,36,408,No,Yes,30,146.3,128,162.5,80,129.3,109,14.5,6,0,False
6,65,415,No,No,0,211.3,120,162.6,122,134.7,118,13.2,5,3,False
7,119,415,No,No,0,159.1,114,231.3,117,143.2,91,8.8,3,5,True
8,10,408,No,No,0,186.1,112,190.2,66,282.8,57,11.4,6,2,False
9,68,415,No,No,0,148.8,70,246.5,164,129.8,103,12.1,3,3,False
10,74,510,No,Yes,33,193.7,91,246.1,96,138.0,92,14.6,3,2,False
11,85,415,No,No,0,235.8,109,157.2,94,188.2,99,12.0,3,0,False
12,46,415,No,No,0,214.1,72,164.4,104,177.5,113,8.2,3,2,False
13,128,510,No,Yes,29,179.3,104,225.9,86,323.0,78,8.6,7,0,False
14,155,415,No,No,0,203.4,100,190.9,104,196.0,119,8.9,4,0,True
15,73,415,No,No,0,160.1,110,213.3,72,174.1,72,13.0,4,0,False
16,77,415,No,No,0,251.8,72,205.7,126,275.2,109,9.8,7,2,True
17,108,415,No,No,0,178.3,137,189.0,76,129.1,102,14.6,5,0,False
18,95,408,No,No,0,135.0,99,183.6,106,245.3,102,12.5,9,1,False
19,36,510,No,Yes,29,281.4,102,202.2,76,187.2,113,9.0,6,2,False
20,141,415,No,Yes,32,148.6,91,131.1,97,219.4,142,10.1,1,1,False
21,63,415,No,No,0,58.9,125,169.6,59,211.4,88,9.4,3,1,False
22,97,408,No,No,0,239.8,125,214.8,111,143.3,81,8.7,5,2,False
23,75,408,No,No,0,166.3,125,158.2,86,256.7,80,6.1,5,1,False
24,127,408,No,No,0,146.7,91,203.5,78,203.4,110,13.7,3,1,False
25,121,408,No,No,0,181.5,121,218.4,98,161.6,103,8.5,5,1,False
26,117,415,No,No,0,102.8,119,206.7,91,299.0,105,10.1,7,1,False
27,65,408,No,No,0,187.9,116,157.6,117,227.3,86,7.5,6,1,False
28,6,510,No,No,0,183.6,117,256.7,72,178.6,79,10.2,2,1,False
29,32,510,No,No,0,230.9,87,187.4,90,154.0,53,6.3,2,0,False
30,64,408,No,Yes,27,182.1,91,169.7,98,164.7,86,10.6,5,2,False
31,25,415,No,No,0,119.3,87,211.5,101,268.9,86,10.5,4,3,False
32,65,415,No,No,0,116.8,87,178.9,93,182.4,150,14.1,2,1,False
33,127,415,No,No,0,202.1,103,229.4,86,195.2,113,11.5,3,2,False
34,93,415,No,No,0,271.6,71,229.4,108,77.3,121,10.9,3,2,False
35,208,510,No,No,0,326.5,67,176.3,113,181.7,102,10.7,6,2,True
36,122,415,No,No,0,243.8,98,83.9,72,179.8,84,13.7,8,2,False
37,99,415,No,No,0,241.1,72,155.6,98,188.2,109,11.6,10,1,False
