,Churn
551,0
46,0
618,0
445,0
305,0
62,1
151,0
391,0
536,0
510,0
613,0
577,0
407,0
102,0
141,0
512,0
178,0
450,0
215,0
152,0
430,1
163,1
210,0
89,0
207,0
259,0
68,0
136,0
404,0
433,0
286,0
625,0
75,0
109,1
58,1
300,0
396,0
101,0
47,1
57,0
200,0
297,0
387,1
639,0
153,0
398,1
539,0
197,0
576,0
506,0
638,0
66,0
235,0
148,0
12,0
334,0
432,0
165,0
253,0
103,0
482,0
24,0
50,0
503,0
186,0
383,0
505,1
484,0
523,0
282,1
466,0
86,0
195,0
628,0
369,0
431,0
604,0
447,0
51,0
216,0
483,1
36,0
179,1
348,0
648,0
336,0
504,0
83,0
372,0
250,0
127,0
275,0
169,0
278,0
417,0
273,0
150,0
458,1
499,0
285,0
567,0
507,0
277,0
593,1
157,0
553,0
265,0
406,0
182,0
587,0
564,0
208,0
84,0
247,0
476,0
588,0
561,1
528,0
232,0
411,0
412,0
209,0
30,0
318,0
634,0
422,0
519,0
384,0
205,0
663,0
107,0
665,0
133,0
487,0
644,0
370,0
666,0
583,0
494,1
315,0
659,0
29,0
509,0
570,0
609,0
486,0
608,0
175,1
438,0
540,1
542,1
545,0
49,0
257,0
289,0
319,0
380,0
584,0
345,0
266,0
226,1
508,0
410,0
8,0
20,0
79,0
405,0
31,0
454,0
199,0
172,0
361,0
460,0
641,0
607,0
16,1
99,0
360,0
120,0
267,0
546,1
203,1
269,0
295,0
85,0
500,1
39,0
493,0
513,0
520,0
414,0
457,1
495,1
459,0
469,0
43,0
312,0
185,0
108,0
98,1
13,0
228,0
631,0
23,0
464,1
288,0
173,0
488,0
170,1
389,0
125,0
554,0
591,0
131,0
280,0
420,1
231,0
296,0
585,0
177,0
27,0
595,0
586,0
452,0
171,0
516,0
532,0
161,0
462,0
547,0
623,0
176,0
234,0
17,0
582,1
563,0
565,0
64,0
531,0
636,0
70,0
271,0
111,0
346,0
28,0
0,0
501,0
473,0
303,0
69,0
340,0
424,1
4,0
206,0
202,0
557,0
474,0
225,1
301,0
63,0
219,0
283,0
478,0
2,1
110,1
514,0
527,0
252,1
630,0
307,0
342,1
279,1
543,0
82,0
262,0
201,1
633,0
455,1
144,0
94,0
302,0
1,1
626,0
124,0
651,0
615,1
658,0
599,0
368,0
574,0
612,0
465,0
437,1
616,0
622,0
316,0
33,0
230,0
149,0
117,0
121,0
159,0
222,0
10,0
373,0
212,0
37,0
339,0
650,0
603,0
592,0
446,0
143,0
572,1
220,0
492,0
35,1
621,0
428,0
643,0
145,0
92,0
397,0
654,0
357,0
550,0
468,0
123,1
479,0
423,0
322,0
138,0
351,1
472,0
566,0
646,0
629,0
356,0
327,1
41,1
224,0
299,1
6,0
376,0
332,0
45,0
211,0
329,0
529,1
335,0
146,0
355,1
95,0
517,0
395,0
116,0
481,0
261,0
645,0
229,0
233,0
556,0
653,1
620,0
579,0
655,0
426,0
491,0
91,0
461,1
429,0
597,0
535,0
467,0
7,1
263,0
243,0
256,0
217,0
581,0
337,1
140,0
290,0
522,0
77,0
160,0
255,0
379,0
496,0
88,0
656,0
614,0
142,0
137,0
436,0
375,0
652,1
515,0
390,1
118,0
435,0
22,0
425,0
71,0
93,0
354,0
611,0
619,0
573,1
642,0
637,0
81,0
134,1
21,0
292,0
544,0
344,0
298,1
72,0
439,0
575,0
180,0
189,0
415,0
196,0
338,0
190,0
248,0
54,0
55,0
9,0
15,0
393,0
154,1
627,0
416,0
213,0
343,0
444,0
181,0
382,0
602,0
498,0
388,0
245,0
100,1
105,0
367,0
421,0
187,0
470,0
326,0
524,1
61,1
350,0
440,0
56,1
371,0
306,0
53,0
270,0
246,0
518,0
241,0
349,1
114,1
442,1
363,0
310,0
374,0
139,0
662,0
184,0
239,0
44,0
308,0
214,0
260,0
605,0
240,0
183,0
90,0
76,0
635,0
640,0
258,0
113,0
353,0
530,0
359,0
418,0
104,0
168,0
325,0
59,0
497,0
218,0
448,0
413,0
272,0
135,0
330,0
191,0
291,0
331,0
409,1
324,0
14,1
204,0
475,0
174,0
264,0
362,1
128,0
526,0
562,0
601,0
580,0
166,0
34,0
661,1
328,0
419,0
119,0
321,0
65,1
5,0
365,0
238,1
42,0
309,0
96,1
596,0
